title,subtitle,narrator,runtime,release,language,ratings,price,link
60. Never Split the Difference,Negotiating as if Your Life Depended on It,Narrated by: Michael Kramer,Length: 8 hrs and 7 mins,Release date: 05-17-16,Language: English,"5 out of 5 stars
60,378 ratings",$23.90,https://www.audible.com/pd/Never-Split-the-Difference-Audiobook/B01CF5O89G?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_3_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=GR1E5YEPGQYQ17NG3CPW
61. The Myth of Normal,"Trauma, Illness, and Healing in a Toxic Culture",Narrated by: Daniel Maté,Length: 18 hrs and 12 mins,Release date: 09-13-22,Language: English,"4.5 out of 5 stars
984 ratings",$35.00,https://www.audible.com/pd/The-Myth-of-Normal-Audiobook/059340968X?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
62. The Silent Patient,no subtitle,"Narrated by: Jack Hawkins, Louise Brealey",Length: 8 hrs and 51 mins,Release date: 02-05-19,Language: English,"4.5 out of 5 stars
69,841 ratings",$20.90,https://www.audible.com/pd/The-Silent-Patient-Audiobook/1250317533?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
63. The 7 Habits of Highly Effective People,Powerful Lessons in Personal Change,Narrated by: Stephen R. Covey,Length: 13 hrs and 4 mins,Release date: 12-28-03,Language: English,"4.5 out of 5 stars
38,356 ratings",$16.95,https://www.audible.com/pd/The-7-Habits-of-Highly-Effective-People-Audiobook/B002V5HAL4?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
64. The Chronicles of Narnia Complete Audio Collection,no subtitle,"Narrated by: Kenneth Branagh, Alex Jennings, Michael York, Lynn Redgrave, Derek Jacobi, Jeremy Northam, Patrick Stewart",Length: 33 hrs and 45 mins,Release date: 12-27-19,Language: English,"5 out of 5 stars
12,671 ratings",$47.90,https://www.audible.com/pd/The-Chronicles-of-Narnia-Adult-Box-Set-Audiobook/0061999881?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
65. The Sandman: Act III,no subtitle,"Narrated by: Neil Gaiman, James McAvoy, K.J. Apa, Kat Dennings, Shruti Haasan, David Harewood, Regé-Jean Page, Kristen Schaal, Wil Wheaton",Length: 11 hrs and 32 mins,Release date: 09-28-22,Language: English,"5 out of 5 stars
6,338 ratings",$34.95,https://www.audible.com/pd/The-Sandman-Act-III-Audiobook/B0BFK1K36D?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
66. The Psychology of Money,"Timeless Lessons on Wealth, Greed, and Happiness",Narrated by: Chris Hill,Length: 5 hrs and 48 mins,Release date: 09-08-20,Language: English,"5 out of 5 stars
15,070 ratings",$19.95,https://www.audible.com/pd/The-Psychology-of-Money-Audiobook/B08D9TXF3H?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
67. The Golden Couple,A Novel,"Narrated by: Karissa Vacker, Marin Ireland",Length: 11 hrs and 3 mins,Release date: 03-08-22,Language: English,"4.5 out of 5 stars
22,658 ratings",$17.92,https://www.audible.com/pd/The-Golden-Couple-Audiobook/1250835623?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
68. The Power of Now,A Guide to Spiritual Enlightenment,Narrated by: Eckhart Tolle,Length: 7 hrs and 37 mins,Release date: 12-31-00,Language: English,"4.5 out of 5 stars
37,188 ratings",$20.97,https://www.audible.com/pd/The-Power-of-Now-Audiobook/B002V0PN36?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
69. Our Missing Hearts,A Novel,"Narrated by: Lucy Liu, Celeste Ng",Length: 9 hrs and 51 mins,Release date: 10-04-22,Language: English,"4.5 out of 5 stars
2,285 ratings",$35.00,https://www.audible.com/pd/Our-Missing-Hearts-Audiobook/B09QH255KD?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
70. Born a Crime,Stories from a South African Childhood,Narrated by: Trevor Noah,Length: 8 hrs and 44 mins,Release date: 11-15-16,Language: English,"5 out of 5 stars
206,501 ratings",$24.95,https://www.audible.com/pd/Born-a-Crime-Audiobook/B01IW9TQPK?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
71. He Who Fights with Monsters: A LitRPG Adventure,"He Who Fights with Monsters, Book 1",Narrated by: Heath Miller,Length: 28 hrs and 56 mins,Release date: 03-09-21,Language: English,"5 out of 5 stars
26,586 ratings",$59.99,https://www.audible.com/pd/He-Who-Fights-with-Monsters-A-LitRPG-Adventure-Audiobook/1774248182?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
72. Ugly Love,no subtitle,"Narrated by: Grace Grant, Deacon Lee",Length: 9 hrs and 14 mins,Release date: 08-05-14,Language: English,"4.5 out of 5 stars
24,278 ratings",$13.99,https://www.audible.com/pd/Ugly-Love-Audiobook/B00LPQUNF0?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
73. He Who Fights with Monsters 9,"A LitRPG Adventure (He Who Fights with Monsters, Book 9)",Narrated by: Heath Miller,Length: 30 hrs and 20 mins,Release date: 04-18-23,Language: English,Not rated yet,$59.99,https://www.audible.com/pd/He-Who-Fights-with-Monsters-9-Audiobook/B0BMCNHHWN?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
74. Think and Grow Rich,no subtitle,Narrated by: Erik Synnestvedt,Length: 9 hrs and 35 mins,Release date: 10-16-07,Language: English,"4.5 out of 5 stars
29,658 ratings",$24.95,https://www.audible.com/pd/Think-and-Grow-Rich-Audiobook/B002V5D950?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
75. Reminders of Him,A Novel,"Narrated by: Brittany Pressley, Ryan West",Length: 10 hrs and 17 mins,Release date: 01-18-22,Language: English,"4.5 out of 5 stars
27,431 ratings",$30.09,https://www.audible.com/pd/Reminders-of-Him-Audiobook/1713641380?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
76. Becoming,no subtitle,Narrated by: Michelle Obama,Length: 19 hrs and 3 mins,Release date: 11-13-18,Language: English,"5 out of 5 stars
178,428 ratings",$23.90,https://www.audible.com/pd/Becoming-Audiobook/B07B3BCZ9S?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
77. The Choice,"The Dragon Heart Legacy, Book 3",Narrated by: Barrie Kreinik,Length: 15 hrs and 18 mins,Release date: 11-22-22,Language: English,"5 out of 5 stars
3,105 ratings",$31.18,https://www.audible.com/pd/The-Choice-Audiobook/B09Q7CP5GV?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
78. Sapiens,A Brief History of Humankind,Narrated by: Derek Perkins,Length: 15 hrs and 18 mins,Release date: 08-15-17,Language: English,"4.5 out of 5 stars
52,087 ratings",$16.00,https://www.audible.com/pd/Sapiens-Audiobook/B0741G911Q?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
79. Long Shadows,no subtitle,"Narrated by: Kyf Brewer, Orlagh Cassidy",Length: 12 hrs and 3 mins,Release date: 10-11-22,Language: English,"4.5 out of 5 stars
5,241 ratings",$31.93,https://www.audible.com/pd/Long-Shadows-Audiobook/B0B29G6NWN?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
80. Connection Unknown,"Builder's Legacy, Book 1",Narrated by: Travis Baldree,Length: 17 hrs and 4 mins,Release date: 06-28-22,Language: English,"4.5 out of 5 stars
182 ratings",$24.95,https://www.audible.com/pd/Connection-Unknown-Audiobook/B0B4F39R58?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_4_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=CAN490V5TSQHN2WN31EV
81. Daisy Jones & The Six,A Novel,"Narrated by: Jennifer Beals, Benjamin Bratt, Judy Greer, Pablo Schreiber",Length: 9 hrs and 3 mins,Release date: 03-05-19,Language: English,"4.5 out of 5 stars
31,802 ratings",$15.74,https://www.audible.com/pd/Daisy-Jones-The-Six-Audiobook/1984845306?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
82. How Magicians Think,"Misdirection, Deception, and Why Magic Matters",Narrated by: Joshua Jay,Length: 7 hrs and 40 mins,Release date: 07-15-22,Language: English,"5 out of 5 stars
75 ratings",$16.95,https://www.audible.com/pd/How-Magicians-Think-Audiobook/B0B6QCN8JB?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
83. Starry Messenger,Cosmic Perspectives on Civilization,Narrated by: Neil deGrasse Tyson,Length: 7 hrs and 17 mins,Release date: 09-20-22,Language: English,"5 out of 5 stars
2,018 ratings",$15.49,https://www.audible.com/pd/Starry-Messenger-Audiobook/B09Q7SMLX8?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
84. The Fellowship of the Ring,Book One in The Lord of the Rings Trilogy,Narrated by: Rob Inglis,Length: 19 hrs and 7 mins,Release date: 10-09-12,Language: English,"5 out of 5 stars
61,855 ratings",$38.49,https://www.audible.com/pd/The-Fellowship-of-the-Ring-Audiobook/B0099RKRTY?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
85. And There Was Light,Abraham Lincoln and the American Struggle,Narrated by: Jon Meacham,Length: 17 hrs and 49 mins,Release date: 10-18-22,Language: English,"5 out of 5 stars
786 ratings",$38.50,https://www.audible.com/pd/And-There-Was-Light-Audiobook/B09W34YVLL?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
86. The Untethered Soul,The Journey Beyond Yourself,Narrated by: Peter Berkrot,Length: 6 hrs and 11 mins,Release date: 12-12-11,Language: English,"4.5 out of 5 stars
27,792 ratings",$24.49,https://www.audible.com/pd/The-Untethered-Soul-Audiobook/B006IE4OY0?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
87. How to Talk to Anyone,92 Little Tricks for Big Success in Relationships,"Narrated by: Joyce Bean, Leil Lowndes",Length: 8 hrs and 59 mins,Release date: 09-01-15,Language: English,"4 out of 5 stars
11,609 ratings",$16.95,https://www.audible.com/pd/How-to-Talk-to-Anyone-Audiobook/B013F5WEZK?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
88. The Way of Kings,"The Stormlight Archive, Book 1","Narrated by: Kate Reading, Michael Kramer",Length: 45 hrs and 30 mins,Release date: 08-31-10,Language: English,"5 out of 5 stars
95,477 ratings",$26.99,https://www.audible.com/pd/The-Way-of-Kings-Audiobook/B003ZWFO7E?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
89. Wrong Place Wrong Time,A Novel,Narrated by: Lesley Sharp,Length: 10 hrs and 7 mins,Release date: 08-02-22,Language: English,"4.5 out of 5 stars
9,496 ratings",$25.90,https://www.audible.com/pd/Wrong-Place-Wrong-Time-Audiobook/B09PSLK4X2?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
90. Marshal Arcane,"Spellmonger, Book 15",Narrated by: John Lee,Length: 21 hrs and 45 mins,Release date: 12-06-22,Language: English,"5 out of 5 stars
1,946 ratings",$59.99,https://www.audible.com/pd/Marshal-Arcane-Audiobook/B0BDP46JN1?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
91. November 9,A Novel,"Narrated by: Zachary Webber, Angela Goethals",Length: 9 hrs and 46 mins,Release date: 11-10-15,Language: English,"4.5 out of 5 stars
18,783 ratings",$16.72,https://www.audible.com/pd/November-9-Audiobook/B0176UVW1W?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
92. The Final Empire,Mistborn Book 1,Narrated by: Michael Kramer,Length: 24 hrs and 39 mins,Release date: 12-28-08,Language: English,"5 out of 5 stars
81,636 ratings",$33.94,https://www.audible.com/pd/The-Final-Empire-Audiobook/B002V0QCYU?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
93. The Alchemist,A Fable About Following Your Dream,Narrated by: Jeremy Irons,Length: 4 hrs,Release date: 12-26-04,Language: English,"4.5 out of 5 stars
77,013 ratings",$17.24,https://www.audible.com/pd/The-Alchemist-Audiobook/B002V0Q4LG?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
94. A Court of Mist and Fury,no subtitle,Narrated by: Jennifer Ikeda,Length: 23 hrs and 16 mins,Release date: 05-03-16,Language: English,"5 out of 5 stars
26,800 ratings",$41.99,https://www.audible.com/pd/A-Court-of-Mist-and-Fury-Audiobook/B01DYO4QRQ?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
95. The Five Love Languages: The Secret to Love That Lasts,no subtitle,Narrated by: Gary Chapman,Length: 4 hrs and 46 mins,Release date: 12-26-04,Language: English,"5 out of 5 stars
40,493 ratings",$24.49,https://www.audible.com/pd/The-Five-Love-Languages-The-Secret-to-Love-That-Lasts-Audiobook/B002V0GGFK?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
96. The Midnight Library,A Novel,Narrated by: Carey Mulligan,Length: 8 hrs and 50 mins,Release date: 09-29-20,Language: English,"4.5 out of 5 stars
56,139 ratings",$16.72,https://www.audible.com/pd/The-Midnight-Library-Audiobook/059334023X?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
97. The Sandman,no subtitle,"Narrated by: Riz Ahmed, Kat Dennings, Taron Egerton, Neil Gaiman, James McAvoy, Samantha Morton, Bebe Neuwirth, Andy Serkis, Michael Sheen",Length: 11 hrs and 2 mins,Release date: 07-15-20,Language: English,"4.5 out of 5 stars
50,368 ratings",$34.95,https://www.audible.com/pd/The-Sandman-Audiobook/B086WP794Z?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
98. Endure,"How to Work Hard, Outlast, and Keep Hammering","Narrated by: Cameron Hanes, David Goggins, Joe Rogan",Length: 7 hrs and 42 mins,Release date: 05-17-22,Language: English,"5 out of 5 stars
11,782 ratings",$14.95,https://www.audible.com/pd/Endure-Audiobook/1250852013?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
99. A Court of Wings and Ruin,no subtitle,Narrated by: Amanda Leigh Cobb,Length: 25 hrs and 9 mins,Release date: 05-02-17,Language: English,"5 out of 5 stars
20,563 ratings",$31.49,https://www.audible.com/pd/A-Court-of-Wings-and-Ruin-Audiobook/B072BFQF1N?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
100. A Promised Land,no subtitle,Narrated by: Barack Obama,Length: 29 hrs and 10 mins,Release date: 11-17-20,Language: English,"5 out of 5 stars
52,272 ratings",$29.94,https://www.audible.com/pd/A-Promised-Land-Audiobook/0525633723?plink=OuVyXdtGh4hysXVS&ref=a_adblbests_c3_adblp13nbssp_5_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=QNC257R4KGQ4589ZJ23X
