title,subtitle,narrator,runtime,release,language,ratings,price,link
24. Mad Honey,A Novel,"Narrated by: Carrie Coon, Key Taw, Jodi Picoult, Jennifer Finn",Length: 15 hrs and 12 mins,Release date: 10-04-22,Language: English,"4.5 out of 5 stars
4,817 ratings",$23.90,https://www.audible.com/pd/Mad-Honey-Audiobook/B09QQVK1QV?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
25. The Seven Husbands of Evelyn Hugo,A Novel,"Narrated by: Alma Cuervo, Julia Whelan, Robin Miles",Length: 12 hrs and 10 mins,Release date: 06-13-17,Language: English,"4.5 out of 5 stars
70,726 ratings",$16.72,https://www.audible.com/pd/The-Seven-Husbands-of-Evelyn-Hugo-Audiobook/B072359S7K?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
26. The Body Keeps the Score,"Brain, Mind, and Body in the Healing of Trauma",Narrated by: Sean Pratt,Length: 16 hrs and 15 mins,Release date: 02-16-21,Language: English,"5 out of 5 stars
8,075 ratings",$20.42,https://www.audible.com/pd/The-Body-Keeps-the-Score-Audiobook/0593412702?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
"27. Tomorrow, and Tomorrow, and Tomorrow",A Novel,"Narrated by: Jennifer Kim, Julian Cihi",Length: 13 hrs and 52 mins,Release date: 07-05-22,Language: English,"4.5 out of 5 stars
3,328 ratings",$17.92,https://www.audible.com/pd/Tomorrow-and-Tomorrow-and-Tomorrow-Audiobook/B09KD2RJ5H?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
28. Desert Star,no subtitle,"Narrated by: Titus Welliver, Christine Lakin, Peter Giles",Length: 9 hrs and 37 mins,Release date: 11-08-22,Language: English,"5 out of 5 stars
5,582 ratings",$20.85,https://www.audible.com/pd/Desert-Star-Audiobook/B09X281DDX?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
29. A World of Curiosities,A Novel,Narrated by: Robert Bathurst,Length: 13 hrs and 15 mins,Release date: 11-29-22,Language: English,"5 out of 5 stars
2,303 ratings",$31.18,https://www.audible.com/pd/A-World-of-Curiosities-Audiobook/B09ZBL55JD?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
30. How to Win Friends & Influence People,no subtitle,Narrated by: Andrew MacMillan,Length: 7 hrs and 15 mins,Release date: 09-16-04,Language: English,"4.5 out of 5 stars
95,351 ratings",$16.72,https://www.audible.com/pd/How-to-Win-Friends-Influence-People-Audiobook/B002V5BV96?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
"31. Harry Potter and the Chamber of Secrets, Book 2",no subtitle,Narrated by: Jim Dale,Length: 9 hrs and 3 mins,Release date: 11-20-15,Language: English,"5 out of 5 stars
126,222 ratings",$29.99,https://www.audible.com/pd/Harry-Potter-and-the-Chamber-of-Secrets-Book-2-Audiobook/B017V4IWVG?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
32. Project Hail Mary,no subtitle,Narrated by: Ray Porter,Length: 16 hrs and 10 mins,Release date: 05-04-21,Language: English,"5 out of 5 stars
145,001 ratings",$29.95,https://www.audible.com/pd/Project-Hail-Mary-Audiobook/B08G9PRS1K?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
33. Atlas of the Heart,Mapping Meaningful Connection and the Language of Human Experience,Narrated by: Brené Brown,Length: 8 hrs and 29 mins,Release date: 02-14-22,Language: English,"5 out of 5 stars
13,998 ratings",$23.90,https://www.audible.com/pd/Atlas-of-the-Heart-Audiobook/1984844261?plink=4DXmO9vlIPiqn9n6&ref=a_adblbests_c3_adblp13nbssp_2_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RQH2Q0DQSP0PFJ5GYKJZ
