kpr_match;kpr_team_id;kpr_opponent_id;kpr_player;kpr_player_link;kpr_nationality;kpr_age;kpr_minutes_played;kpr_ss_sota;kpr_ss_ga;kpr_ss_saves;kpr_ss_savepct;kpr_ss_psxg;kpr_lau_cmp;kpr_lau_att;kpr_lau_cmppct;kpr_pas_att;kpr_pas_thr;kpr_pas_launchpct;kpr_pas_avglen;kpr_gk_att;kpr_gk_launchpct;kpr_gk_avglen;kpr_crs_opp;kpr_crs_stp;kpr_crs_stppct;kpr_swp_opa;kpr_swp_avgdist
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;18bb7c10;Vicente Guaita;https://fbref.com/en/players/ab13a5aa/;es ESP;35-207;90;2;2;1;0.0;0.3;7;9;77.8;35;2;22.9;25.7;4;25.0;29.5;9;1;11.1;2;15.4
web_scraping_practice\FBref\fbref_pl_match.html;18bb7c10;47c64c55;Aaron Ramsdale;https://fbref.com/en/players/466fb2c5/;eng ENG;24-083;90;2;0;2;100.0;0.3;8;15;53.3;30;4;46.7;36.5;2;50.0;43.5;16;2;12.5;1;15.7
