,player,org,rds,average_combat_score,kill_deaths,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch (won/played),total_kills,total_deaths,total_assists,total_first_kills,total_first_deaths,map_id,agent,region
108,TiGG,LG,22,189.0,0.78,125.5,0.64,0.18,0.05,0.05,22%,0.05,0/3,14,14,18,4,1,1,astra,na
109,w0rldw1de,YFP,231,188.3,0.96,122.5,0.70,0.18,0.06,0.06,32%,0.06,3/40,21,161,167,42,15,1,astra,na
110,Link,Elys,141,188.1,1.04,122.6,0.69,0.32,0.04,0.08,20%,0.08,2/23,17,97,93,45,6,1,astra,na
111,zone,,16,188.0,0.87,92.2,0.81,0.25,0.06,0.06,30%,0.06,0/1,13,13,15,4,1,1,astra,na
112,ShoT_UP,IMT,21,188.0,1.07,118.1,0.76,0.14,0.00,0.19,34%,0.19,0/4,16,16,15,3,0,1,astra,na
113,silenx,PK,61,187.7,1.05,135.6,0.70,0.16,0.05,0.07,29%,0.07,2/5,23,43,41,10,3,1,astra,na
114,panini,SR,349,187.1,1.02,123.5,0.67,0.27,0.06,0.05,24%,0.05,6/55,21,235,231,93,20,1,astra,na
115,zambie,OOKE,46,187.0,1.32,116.2,0.72,0.43,0.00,0.02,14%,0.02,1/5,19,33,25,20,0,1,astra,na
116,cowffee,cowb,17,187.0,0.67,137.5,0.59,0.47,0.00,0.00,20%,0.00,0/6,10,10,15,8,0,1,astra,na
117,Milkyway,VX,61,186.3,0.89,117.9,0.67,0.28,0.13,0.16,22%,0.16,0/2,17,41,46,17,8,1,astra,na
118,xCeeD,PK,73,186.3,1.12,131.8,0.75,0.14,0.08,0.10,20%,0.10,1/10,18,55,49,10,6,1,astra,na
119,Bad,,24,186.0,0.89,136.4,0.67,0.25,0.04,0.04,23%,0.04,0/1,16,16,18,6,1,1,astra,na
120,Morgausse,TI,19,186.0,1.08,118.6,0.74,0.21,0.00,0.05,16%,0.05,0/3,14,14,13,4,0,1,astra,na
121,ezpk,boom,65,185.3,1.09,120.0,0.72,0.23,0.05,0.08,21%,0.08,3/11,21,47,43,15,3,1,astra,na
122,Sofa,TB,239,184.7,0.90,117.3,0.66,0.23,0.05,0.08,20%,0.08,2/28,19,157,174,55,11,1,astra,na
123,Berghy,TB,326,184.1,0.90,127.2,0.63,0.28,0.06,0.06,19%,0.06,5/35,22,205,229,91,19,1,astra,na
124,TheFrozonBanana,,23,184.0,0.88,118.2,0.65,0.17,0.13,0.04,20%,0.04,1/4,15,15,17,4,3,1,astra,na
125,Elevate,The,44,183.5,1.00,129.2,0.61,0.27,0.05,0.05,24%,0.05,1/10,18,27,27,12,2,1,astra,na
126,vanish,TI,24,182.0,0.80,118.3,0.67,0.29,0.17,0.08,22%,0.08,0/5,16,16,20,7,4,1,astra,na
127,Laxxy,DV,22,182.0,0.68,126.2,0.59,0.23,0.09,0.05,37%,0.05,0/4,13,13,19,5,2,1,astra,na
128,Kushay,TLP.M,66,181.7,0.82,119.1,0.62,0.24,0.12,0.03,38%,0.03,0/4,17,41,50,16,8,1,astra,na
129,MateNiles,,39,181.5,0.73,110.4,0.62,0.13,0.08,0.13,25%,0.13,1/4,13,24,33,5,3,1,astra,na
130,caders,BA,395,180.6,0.90,117.4,0.64,0.26,0.07,0.08,26%,0.08,7/52,22,254,281,103,28,1,astra,na
131,Pixil,ELV,22,180.0,0.88,129.6,0.64,0.18,0.14,0.09,24%,0.09,0/1,14,14,16,4,3,1,astra,na
132,dino,ASP,50,179.5,1.03,110.3,0.62,0.14,0.08,0.14,29%,0.14,3/10,17,31,30,7,4,1,astra,na
133,nerve,MP,279,179.1,0.85,111.2,0.63,0.21,0.07,0.07,24%,0.07,6/30,19,175,205,59,19,1,astra,na
134,Jonaaa6,The,126,179.1,1.06,114.9,0.68,0.25,0.05,0.04,25%,0.04,5/24,17,86,81,32,6,1,astra,na
135,dizzyLife,SQ,55,179.0,0.97,142.7,0.60,0.31,0.09,0.05,11%,0.05,0/6,13,33,34,17,5,1,astra,na
136,ZK,TSM.A,820,178.9,0.96,120.3,0.65,0.30,0.05,0.04,26%,0.04,15/119,30,534,555,247,42,1,astra,na
137,skuba,PK,169,178.9,0.96,116.6,0.66,0.17,0.05,0.05,30%,0.05,4/23,25,112,117,29,8,1,astra,na
138,mamichan,,110,178.4,0.89,131.5,0.66,0.30,0.09,0.07,19%,0.07,7/17,22,73,82,33,10,1,astra,na
139,Zen,,69,178.0,0.80,116.0,0.59,0.26,0.10,0.09,22%,0.09,2/11,14,41,51,18,7,1,astra,na
140,grimoire,Resi,58,178.0,1.30,145.9,0.67,0.33,0.10,0.03,31%,0.03,2/9,16,39,30,19,6,1,astra,na
141,Marved,NV,97,177.8,0.88,118.7,0.65,0.16,0.10,0.09,27%,0.09,3/12,20,63,72,16,10,1,astra,na
142,mummAy,ABX,211,177.8,1.09,110.8,0.65,0.26,0.08,0.08,27%,0.08,4/28,18,137,126,55,17,1,astra,na
143,Babu,1337,375,177.7,0.90,117.4,0.63,0.30,0.08,0.07,27%,0.07,5/43,21,236,261,114,31,1,astra,na
144,Boltzy,SUPE,24,177.0,1.15,110.7,0.63,0.25,0.00,0.08,35%,0.08,0/5,15,15,13,6,0,1,astra,na
145,Enos,,66,177.0,1.07,130.0,0.70,0.15,0.03,0.06,16%,0.06,2/15,22,46,43,10,2,1,astra,na
146,kat,C9W,507,176.9,0.94,112.3,0.64,0.25,0.05,0.06,31%,0.06,2/43,19,324,343,128,27,1,astra,na
147,royal,TB,106,176.8,0.95,118.0,0.67,0.32,0.06,0.07,34%,0.07,3/10,21,71,75,34,6,1,astra,na
148,shrouts,RB,37,176.5,1.19,114.6,0.68,0.30,0.08,0.05,30%,0.05,,16,25,21,11,3,1,astra,na
149,Kip,FNR,167,176.1,0.79,115.6,0.60,0.31,0.04,0.05,27%,0.05,2/24,19,100,127,52,6,1,astra,na
150,Nurfed,ex-FB,104,175.6,0.72,113.4,0.57,0.29,0.12,0.11,18%,0.11,1/14,16,59,82,30,12,1,astra,na
151,evaD,,62,175.3,0.85,125.2,0.63,0.32,0.06,0.08,20%,0.08,1/9,17,39,46,20,4,1,astra,na
152,monSi,BBG.A,57,175.3,0.80,118.9,0.65,0.23,0.09,0.05,28%,0.05,2/11,25,37,46,13,5,1,astra,na
153,linh,,13,175.0,0.62,108.4,0.62,0.15,0.08,0.08,24%,0.08,0/1,8,8,13,2,1,1,astra,na
154,hydra,TB,18,175.0,2.60,107.2,0.72,0.00,0.06,0.06,26%,0.06,1/2,13,13,5,0,1,1,astra,na
155,GCWh1te,,18,175.0,0.71,122.8,0.56,0.22,0.00,0.11,20%,0.11,0/4,10,10,14,4,0,1,astra,na
156,tahxic,,17,175.0,0.60,104.1,0.53,0.29,0.06,0.00,15%,0.00,0/6,9,9,15,5,1,1,astra,na
157,ecology,,20,175.0,0.75,107.2,0.60,0.20,0.10,0.05,18%,0.05,0/5,12,12,16,4,2,1,astra,na
158,Starlight,PLR,303,174.8,0.95,121.7,0.66,0.25,0.04,0.06,20%,0.06,5/40,21,199,210,76,11,1,astra,na
159,Rejante,FB,87,174.5,1.00,112.3,0.66,0.11,0.06,0.07,22%,0.07,3/13,28,57,57,10,5,1,astra,na
160,cky,Brim,44,174.5,0.72,102.7,0.64,0.30,0.09,0.18,24%,0.18,0/3,14,28,39,13,4,1,astra,na
161,ryann,Ghost,204,174.3,0.99,110.4,0.63,0.26,0.05,0.07,28%,0.07,8/24,19,129,130,54,11,1,astra,na
162,wippie,V1,112,174.2,0.87,113.6,0.59,0.29,0.04,0.07,20%,0.07,3/22,18,66,76,32,4,1,astra,na
163,RIPJUICEWRLD,,22,174.0,1.00,98.7,0.64,0.36,0.05,0.05,14%,0.05,,14,14,14,8,1,1,astra,na
164,UNSHAKEN,ZMM,68,174.0,0.86,117.7,0.65,0.09,0.09,0.10,25%,0.10,3/9,20,44,51,6,6,1,astra,na
165,TonyV,Exot,39,173.5,0.63,110.5,0.51,0.31,0.05,0.03,18%,0.03,0/7,10,20,32,12,2,1,astra,na
166,Mady,,202,173.5,0.87,113.7,0.64,0.23,0.04,0.08,23%,0.08,3/22,23,129,148,47,9,1,astra,na
167,YMK,afte,40,173.5,0.73,114.6,0.55,0.25,0.10,0.10,19%,0.10,1/4,12,22,30,10,4,1,astra,na
168,KillerMiller,,135,173.2,0.98,106.3,0.65,0.30,0.07,0.06,24%,0.06,3/12,20,88,90,40,9,1,astra,na
169,cutefatboy,NOX,38,173.0,0.74,114.9,0.61,0.08,0.13,0.16,29%,0.16,1/3,15,23,31,3,5,1,astra,na
170,Potatoe,Neme,138,172.7,0.98,113.2,0.64,0.26,0.03,0.06,20%,0.06,1/19,25,89,91,36,4,1,astra,na
171,Frosty,PK,308,172.3,0.86,116.0,0.62,0.25,0.11,0.10,26%,0.10,6/27,24,192,222,77,34,1,astra,na
172,KP,SR,229,171.9,0.85,106.6,0.64,0.22,0.07,0.10,28%,0.10,2/26,25,147,172,50,16,1,astra,na
