,player,org,rds,average_combat_score,kill_deaths,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,clutch (won/played),total_kills,total_deaths,total_assists,total_first_kills,total_first_deaths,map_id,agent,region
305,Brick,,15,86.0,0.27,58.1,0.27,0.13,0.00,0.13,11%,0.13,0/2,4,4,15,2,0,1,astra,na
306,Synergy,Valo,19,83.0,0.41,57.4,0.37,0.05,0.00,0.16,18%,0.16,0/5,7,7,17,1,0,1,astra,na
307,Berry,,15,78.0,0.29,38.3,0.27,0.00,0.00,0.20,20%,0.20,0/1,4,4,14,0,0,1,astra,na
308,Pingfu,Elme,18,78.0,0.27,58.2,0.22,0.11,0.00,0.17,21%,0.17,1/4,4,4,15,2,0,1,astra,na
309,Betrayed,The,14,76.0,0.15,48.9,0.14,0.07,0.00,0.14,31%,0.14,0/3,2,2,13,1,0,1,astra,na
310,madi,,13,71.0,0.15,61.9,0.15,0.23,0.00,0.15,36%,0.15,0/4,2,2,13,3,0,1,astra,na
311,Vivid,,17,70.0,0.29,53.1,0.24,0.06,0.06,0.00,23%,0.00,0/3,4,4,14,1,1,1,astra,na
312,halalxans,,13,63.0,0.15,46.1,0.15,0.15,0.00,0.00,,0.00,0/2,2,2,13,2,0,1,astra,na
313,Har,,15,62.0,0.15,45.8,0.13,0.07,0.07,0.00,,0.00,0/2,2,2,13,1,1,1,astra,na
314,pusheen,,14,59.0,0.14,40.9,0.14,0.07,0.00,0.36,22%,0.36,0/2,2,2,14,1,0,1,astra,na
