,team1,team2,score1,score2,time_completed,round_info,tournament_name,match_page,tournament_icon
16,TENSTAR,Equality,2,0,6mo ago,European Qualifier-Round of 32,LVP Rising Series #2,/21663/tenstar-vs-equality-lvp-rising-series-2-european-qualifier-ro32,https://owcdn.net/img/6004137cb38bc.png
17,LDN UTD,Lasagna Beam,0,2,6mo ago,European Qualifier-Round of 32,LVP Rising Series #2,/21667/ldn-utd-vs-lasagna-beam-lvp-rising-series-2-european-qualifier-ro32,https://owcdn.net/img/6004137cb38bc.png
18,SAW,Full Flashed,2,0,6mo ago,European Qualifier-Round of 32,LVP Rising Series #2,/21674/saw-vs-full-flashed-lvp-rising-series-2-european-qualifier-ro32,https://owcdn.net/img/6004137cb38bc.png
19,VPG Headhunters,Union Gaming,10,13,6mo ago,Group Stage-Group B,Rooter Rise of Legends,/21347/gsc-headhunters-vs-union-gaming-zegg-rooter-rise-of-legends-group-stage-group-b,https://owcdn.net/img/60b8b49c6dc7a.png
20,MercenarieZ,Mist Walkers,4,13,6mo ago,Group Stage-Group C,Rooter Rise of Legends,/21351/mercenariez-vs-mist-walkers-rooter-rise-of-legends-group-stage-group-c,https://owcdn.net/img/60b8b49c6dc7a.png
21,iPon Esport,HEET,0,2,6mo ago,Main Event-Upper Bracket Semifinals,Magyar Esport Kupa #2,/20153/ipon-team-horizon-reapers-vs-heet-magyar-esport-kupa-2-ubsf,https://owcdn.net/img/60aeda5c1e76c.png
22,F1LS Esports,Zeusaberz Esports,13,1,6mo ago,Group Stage-Group A,Rooter Rise of Legends,/21341/force-one-vs-zeusaberz-esports-rooter-rise-of-legends-group-stage-group-a,https://owcdn.net/img/60b8b49c6dc7a.png
23,Godlike Esports,Reckoning Esports,2,0,6mo ago,Tournament-Upper Round of 16,Lethal Esports Invitational - Season 1,/21150/godlike-esports-vs-reckoning-esports-lethal-esports-invitational-season-1-tournament-uro16,https://owcdn.net/img/60b66098e4577.png
24,Enigma Gaming,TempesT,2,1,6mo ago,Tournament-Upper Round of 16,Lethal Esports Invitational - Season 1,/21151/enigma-gaming-vs-tempest-lethal-esports-invitational-season-1-tournament-uro16,https://owcdn.net/img/60b66098e4577.png
25,Wildcard Gaming,ORDER,3,0,6mo ago,Finals-Grand Final,Oceania Tour: Stage 02,/21551/wildcard-gaming-vs-order-oceania-tour-stage-02-gf,https://owcdn.net/img/6017169f35876.png
26,HEET,Team Sampi,2,0,6mo ago,Playoffs-Semifinals,PLE.GG Valorant Nations Circuit,/19811/heet-vs-team-sampi-ple-gg-valorant-nations-circuit-sf,https://owcdn.net/img/60ce924d5568b.png
27,Salt Esports,Team Exploit,0,2,6mo ago,Playoffs-Quarterfinals,Jazba Pro Invitational #7,/21743/salt-esports-vs-team-exploit-jazba-pro-invitational-7-finals-qf,https://owcdn.net/img/60bc90af5a6fb.png
28,Lariox Esports,Global Esports,4,13,6mo ago,Group Stage-Group D,Rooter Rise of Legends,/21355/lariox-esports-vs-global-esports-rooter-rise-of-legends-group-stage-group-d,https://owcdn.net/img/60b8b49c6dc7a.png
29,PACT,Illuminar Gaming,0,2,6mo ago,Playoffs-Semifinals,PLE.GG Valorant Nations Circuit,/19810/pact-vs-illuminar-gaming-ple-gg-valorant-nations-circuit-sf,https://owcdn.net/img/60ce924d5568b.png
30,Enigma Gaming,MercenarieZ,13,9,6mo ago,Group Stage-Group C,Rooter Rise of Legends,/21350/enigma-gaming-vs-mercenariez-rooter-rise-of-legends-group-stage-group-c,https://owcdn.net/img/60b8b49c6dc7a.png
31,VPG Headhunters,Samurai Esports,1,13,6mo ago,Group Stage-Group B,Rooter Rise of Legends,/21345/gsc-headhunters-vs-samurai-esports-rooter-rise-of-legends-group-stage-group-b,https://owcdn.net/img/60b8b49c6dc7a.png
32,Reckoning Esports,Union Gaming,7,13,6mo ago,Group Stage-Group B,Rooter Rise of Legends,/21346/reckoning-esports-vs-union-gaming-zegg-rooter-rise-of-legends-group-stage-group-b,https://owcdn.net/img/60b8b49c6dc7a.png
33,Godlike Esports,Mist Walkers,13,5,6mo ago,Group Stage-Group C,Rooter Rise of Legends,/21349/godlike-esports-vs-mist-walkers-rooter-rise-of-legends-group-stage-group-c,https://owcdn.net/img/60b8b49c6dc7a.png
34,F1LS Esports,Xiphos Outplay,13,3,6mo ago,Group Stage-Group A,Rooter Rise of Legends,/21340/force-one-vs-xiphos-outplay-rooter-rise-of-legends-group-stage-group-a,https://owcdn.net/img/60b8b49c6dc7a.png
35,Global Esports,Lethal Esports Alpha,2,0,6mo ago,Tournament-Upper Round of 16,Lethal Esports Invitational - Season 1,/21148/global-esports-vs-lethal-esports-alpha-lethal-esports-invitational-season-1-tournament-uro16,https://owcdn.net/img/60b66098e4577.png
36,ORDER,McBTSMac,2,0,6mo ago,Finals-Lower Bracket Finals,Oceania Tour: Stage 02,/21550/order-vs-mcbtsmac-oceania-tour-stage-02-lbf,https://owcdn.net/img/6017169f35876.png
37,Samurai Esports,True Rippers,0,2,6mo ago,Tournament-Upper Round of 16,Lethal Esports Invitational - Season 1,/21149/samurai-esports-vs-true-rippers-lethal-esports-invitational-season-1-tournament-uro16,https://owcdn.net/img/60b66098e4577.png
38,ORDER,Wildcard Gaming,1,2,6mo ago,Finals-Upper Finals,Oceania Tour: Stage 02,/21357/order-vs-wildcard-gaming-oceania-tour-stage-02-uf,https://owcdn.net/img/6017169f35876.png
39,Nebula,McBTSMac,0,2,6mo ago,Finals-Lower Bracket Round 3,Oceania Tour: Stage 02,/21419/nebula-vs-mcbtsmac-oceania-tour-stage-02-lbr3,https://owcdn.net/img/6017169f35876.png
40,Team Sampi,Invicta Gaming,2,0,6mo ago,Playoffs-Quarterfinals,PLE.GG Valorant Nations Circuit,/19809/team-sampi-vs-xpg-invicta-ple-gg-valorant-nations-circuit-qf,https://owcdn.net/img/60ce924d5568b.png
41,Reckoning Esports,Samurai Esports,10,13,6mo ago,Group Stage-Group B,Rooter Rise of Legends,/21344/reckoning-esports-vs-samurai-esports-rooter-rise-of-legends-group-stage-group-b,https://owcdn.net/img/60b8b49c6dc7a.png
42,Illuminar Gaming,eSuba,2,1,6mo ago,Playoffs-Quarterfinals,PLE.GG Valorant Nations Circuit,/19808/illuminar-gaming-vs-esuba-ple-gg-valorant-nations-circuit-qf,https://owcdn.net/img/60ce924d5568b.png
43,Lariox Esports,Gunslingers,14,12,6mo ago,Group Stage-Group D,Rooter Rise of Legends,/21354/lariox-esports-vs-gunslingers-rooter-rise-of-legends-group-stage-group-d,https://owcdn.net/img/60b8b49c6dc7a.png
44,Enigma Gaming,Godlike Esports,14,16,6mo ago,Group Stage-Group C,Rooter Rise of Legends,/21348/enigma-gaming-vs-godlike-esports-rooter-rise-of-legends-group-stage-group-c,https://owcdn.net/img/60b8b49c6dc7a.png
45,Zeusaberz Esports,Velocity Gaming,7,13,6mo ago,Group Stage-Group A,Rooter Rise of Legends,/21339/zeusaberz-esports-vs-velocity-gaming-rooter-rise-of-legends-group-stage-group-a,https://owcdn.net/img/60b8b49c6dc7a.png
46,Rebellious Gaming,Global Esports,4,13,6mo ago,Group Stage-Group D,Rooter Rise of Legends,/21353/rebellious-gaming-vs-global-esports-rooter-rise-of-legends-group-stage-group-d,https://owcdn.net/img/60b8b49c6dc7a.png
47,F1LS Esports,Velocity Gaming,7,13,6mo ago,Group Stage-Group A,Rooter Rise of Legends,/21338/force-one-vs-velocity-gaming-rooter-rise-of-legends-group-stage-group-a,https://owcdn.net/img/60b8b49c6dc7a.png
48,Mindfreak,McBTSMac,0,2,6mo ago,Finals-Lower Bracket Round 2,Oceania Tour: Stage 02,/21359/mindfreak-vs-mcbtsmac-oceania-tour-stage-02-lbr2,https://owcdn.net/img/6017169f35876.png
49,Velocity Gaming,Team Moon,2,1,6mo ago,Tournament-Upper Round of 16,Lethal Esports Invitational - Season 1,/21144/velocity-gaming-vs-team-moon-lethal-esports-invitational-season-1-tournament-uro16,https://owcdn.net/img/60b66098e4577.png
0,ShanXi Gaming Girls,Number One Player,1,13,6mo ago,Group Stage-Group B,Huya FMWH PangHu Cup: Summer,/20804/shanxi-gaming-girls-vs-number-one-player-huya-fmwh-panghu-cup-summer-group-b,https://owcdn.net/img/6092528718e67.png
1,Invictus Gaming Academy,Totoro Gaming,6,13,6mo ago,Group Stage-Group B,Huya FMWH PangHu Cup: Summer,/20805/invictus-gaming-academy-vs-totoro-gaming-huya-fmwh-panghu-cup-summer-group-b,https://owcdn.net/img/6092528718e67.png
2,Team Bliss,Nebula,0,2,6mo ago,Finals-Lower Bracket Round 2,Oceania Tour: Stage 02,/21358/team-bliss-vs-nebula-oceania-tour-stage-02-lbr2,https://owcdn.net/img/6017169f35876.png
3,Invictus Gaming Academy,Attacking Soul Esports,13,3,6mo ago,Group Stage-Group B,Huya FMWH PangHu Cup: Summer,/20802/invictus-gaming-academy-vs-attacking-soul-esports-huya-fmwh-panghu-cup-summer-group-b,https://owcdn.net/img/6092528718e67.png
4,Totoro Gaming,Number One Player,9,13,6mo ago,Group Stage-Group B,Huya FMWH PangHu Cup: Summer,/20803/totoro-gaming-vs-number-one-player-huya-fmwh-panghu-cup-summer-group-b,https://owcdn.net/img/6092528718e67.png
5,Totoro Gaming,ShanXi Gaming Girls,13,0,6mo ago,Group Stage-Group B,Huya FMWH PangHu Cup: Summer,/20800/totoro-gaming-vs-shanxi-gaming-girls-huya-fmwh-panghu-cup-summer-group-b,https://owcdn.net/img/6092528718e67.png
6,Number One Player,Attacking Soul Esports,4,13,6mo ago,Group Stage-Group B,Huya FMWH PangHu Cup: Summer,/20801/number-one-player-vs-attacking-soul-esports-huya-fmwh-panghu-cup-summer-group-b,https://owcdn.net/img/6092528718e67.png
7,Number One Player,Invictus Gaming Academy,13,9,6mo ago,Group Stage-Group B,Huya FMWH PangHu Cup: Summer,/20798/number-one-player-vs-invictus-gaming-academy-huya-fmwh-panghu-cup-summer-group-b,https://owcdn.net/img/6092528718e67.png
