match_date,home_team,match_score,away_team
29-12-2021,Chelsea,1 - 1,Brighton
02-01-2022,Everton,2 - 3,Brighton
14-01-2022,Brighton,1 - 1,Crystal Palace
18-01-2022,Brighton,1 - 1,Chelsea
23-01-2022,Leicester,1 - 1,Brighton
12-02-2022,Watford,0 - 2,Brighton
15-02-2022,Man United,2 - 0,Brighton
19-02-2022,Brighton,0 - 3,Burnley
26-02-2022,Brighton,0 - 2,Aston Villa
05-03-2022,Newcastle,2 - 1,Brighton
12-03-2022,Brighton,0 - 2,Liverpool
16-03-2022,Brighton,0 - 2,Tottenham
02-04-2022,Brighton,0 - 0,Norwich
09-04-2022,Arsenal,1 - 2,Brighton
16-04-2022,Tottenham,0 - 1,Brighton
20-04-2022,Man City,3 - 0,Brighton
24-04-2022,Brighton,2 - 2,Southampton
30-04-2022,Wolves,0 - 3,Brighton
07-05-2022,Brighton,4 - 0,Man United
15-05-2022,Leeds,1 - 1,Brighton
22-05-2022,Brighton,3 - 1,West Ham
14-08-2021,Burnley,1 - 2,Brighton
21-08-2021,Liverpool,2 - 0,Burnley
29-08-2021,Burnley,1 - 1,Leeds
13-09-2021,Everton,3 - 1,Burnley
18-09-2021,Burnley,0 - 1,Arsenal
25-09-2021,Leicester,2 - 2,Burnley
02-10-2021,Burnley,0 - 0,Norwich
16-10-2021,Man City,2 - 0,Burnley
23-10-2021,Southampton,2 - 2,Burnley
30-10-2021,Burnley,3 - 1,Brentford
06-11-2021,Chelsea,1 - 1,Burnley
20-11-2021,Burnley,3 - 3,Crystal Palace
01-12-2021,Wolves,0 - 0,Burnley
04-12-2021,Newcastle,1 - 0,Burnley
12-12-2021,Burnley,0 - 0,West Ham
30-12-2021,Man United,3 - 1,Burnley
02-01-2022,Leeds,3 - 1,Burnley
23-01-2022,Arsenal,0 - 0,Burnley
05-02-2022,Burnley,0 - 0,Watford
08-02-2022,Burnley,1 - 1,Man United
13-02-2022,Burnley,0 - 1,Liverpool
19-02-2022,Brighton,0 - 3,Burnley
23-02-2022,Burnley,1 - 0,Tottenham
26-02-2022,Crystal Palace,1 - 1,Burnley
01-03-2022,Burnley,0 - 2,Leicester
05-03-2022,Burnley,0 - 4,Chelsea
12-03-2022,Brentford,2 - 0,Burnley
02-04-2022,Burnley,0 - 2,Man City
06-04-2022,Burnley,3 - 2,Everton
10-04-2022,Norwich,2 - 0,Burnley
17-04-2022,West Ham,1 - 1,Burnley
21-04-2022,Burnley,2 - 0,Southampton
24-04-2022,Burnley,1 - 0,Wolves
30-04-2022,Watford,1 - 2,Burnley
07-05-2022,Burnley,1 - 3,Aston Villa
15-05-2022,Tottenham,1 - 0,Burnley
19-05-2022,Aston Villa,1 - 1,Burnley
22-05-2022,Burnley,1 - 2,Newcastle
14-08-2021,Chelsea,3 - 0,Crystal Palace
22-08-2021,Arsenal,0 - 2,Chelsea
28-08-2021,Liverpool,1 - 1,Chelsea
11-09-2021,Chelsea,3 - 0,Aston Villa
19-09-2021,Tottenham,0 - 3,Chelsea
25-09-2021,Chelsea,0 - 1,Man City
02-10-2021,Chelsea,3 - 1,Southampton
16-10-2021,Brentford,0 - 1,Chelsea
23-10-2021,Chelsea,7 - 0,Norwich
30-10-2021,Newcastle,0 - 3,Chelsea
06-11-2021,Chelsea,1 - 1,Burnley
20-11-2021,Leicester,0 - 3,Chelsea
28-11-2021,Chelsea,1 - 1,Man United
01-12-2021,Watford,1 - 2,Chelsea
04-12-2021,West Ham,3 - 2,Chelsea
11-12-2021,Chelsea,3 - 2,Leeds
16-12-2021,Chelsea,1 - 1,Everton
19-12-2021,Wolves,0 - 0,Chelsea
26-12-2021,Aston Villa,1 - 3,Chelsea
29-12-2021,Chelsea,1 - 1,Brighton
02-01-2022,Chelsea,2 - 2,Liverpool
15-01-2022,Man City,1 - 0,Chelsea
18-01-2022,Brighton,1 - 1,Chelsea
23-01-2022,Chelsea,2 - 0,Tottenham
19-02-2022,Crystal Palace,0 - 1,Chelsea
05-03-2022,Burnley,0 - 4,Chelsea
10-03-2022,Norwich,1 - 3,Chelsea
13-03-2022,Chelsea,1 - 0,Newcastle
02-04-2022,Chelsea,1 - 4,Brentford
09-04-2022,Southampton,0 - 6,Chelsea
20-04-2022,Chelsea,2 - 4,Arsenal
24-04-2022,Chelsea,1 - 0,West Ham
28-04-2022,Man United,1 - 1,Chelsea
01-05-2022,Everton,1 - 0,Chelsea
07-05-2022,Chelsea,2 - 2,Wolves
11-05-2022,Leeds,0 - 3,Chelsea
19-05-2022,Chelsea,1 - 1,Leicester
22-05-2022,Chelsea,2 - 1,Watford
14-08-2021,Chelsea,3 - 0,Crystal Palace
21-08-2021,Crystal Palace,0 - 0,Brentford
28-08-2021,West Ham,2 - 2,Crystal Palace
11-09-2021,Crystal Palace,3 - 0,Tottenham
18-09-2021,Liverpool,3 - 0,Crystal Palace
27-09-2021,Crystal Palace,1 - 1,Brighton
03-10-2021,Crystal Palace,2 - 2,Leicester
18-10-2021,Arsenal,2 - 2,Crystal Palace
23-10-2021,Crystal Palace,1 - 1,Newcastle
30-10-2021,Man City,0 - 2,Crystal Palace
06-11-2021,Crystal Palace,2 - 0,Wolves
20-11-2021,Burnley,3 - 3,Crystal Palace
27-11-2021,Crystal Palace,1 - 2,Aston Villa
30-11-2021,Leeds,1 - 0,Crystal Palace
05-12-2021,Man United,1 - 0,Crystal Palace
12-12-2021,Crystal Palace,3 - 1,Everton
15-12-2021,Crystal Palace,2 - 2,Southampton
26-12-2021,Tottenham,3 - 0,Crystal Palace
28-12-2021,Crystal Palace,3 - 0,Norwich
01-01-2022,Crystal Palace,2 - 3,West Ham
14-01-2022,Brighton,1 - 1,Crystal Palace
23-01-2022,Crystal Palace,1 - 3,Liverpool
09-02-2022,Norwich,1 - 1,Crystal Palace
12-02-2022,Brentford,0 - 0,Crystal Palace
19-02-2022,Crystal Palace,0 - 1,Chelsea
23-02-2022,Watford,1 - 4,Crystal Palace
26-02-2022,Crystal Palace,1 - 1,Burnley
05-03-2022,Wolves,0 - 2,Crystal Palace
14-03-2022,Crystal Palace,0 - 0,Man City
04-04-2022,Crystal Palace,3 - 0,Arsenal
10-04-2022,Leicester,2 - 1,Crystal Palace
20-04-2022,Newcastle,1 - 0,Crystal Palace
